#,Name,Longitude,Latitude,Area Name,City,Google Maps Link
1, Al Batayeh - Al Faya Rd - Sharjah,55.808129,25.041718,Unknown Area,Milehah,"https://www.google.com/maps?q=25.041718,55.808129"
2,2nd December Cafeteria,55.729863,25.041051,Unknown Area,Al Madam,"https://www.google.com/maps?q=25.041051,55.729863"
3,ADNOC # 128 - Al Razeen,54.833224,24.207018,Al Wathba Camel Racetrack,Al Wathbah,"https://www.google.com/maps?q=24.207018,54.833224"
4,ADNOC AL FAYA,54.852711,24.217905,Al Wathba Camel Racetrack,Al Wathbah,"https://www.google.com/maps?q=24.217905,54.852711"
5,ADNOC Al Fayadha,54.401383,23.650299,Unknown Area,Abu Qrayn,"https://www.google.com/maps?q=23.650299,54.401383"
6,ADNOC Madinat Zayed - LIWA,53.796438,23.141813,Mezaira,Mzeerʻah,"https://www.google.com/maps?q=23.141813,53.796438"
7,ADNOC Service Station | Mazyed,55.844938,24.030188,Mazyad,Abu Dhabi Emirate,"https://www.google.com/maps?q=24.030188,55.844938"
8,ADNOC Wathba New economy one,54.836759,24.206465,Al Wathba Camel Racetrack,Al Wathbah,"https://www.google.com/maps?q=24.206465,54.836759"
9,Adnoc Al Khatim ,54.993638,24.190768,Al Khatm,Al Khatm,"https://www.google.com/maps?q=24.190768,54.993638"
10,Adnoc meread,54.832310,24.434313,Unknown Area,Al Mi'rad,"https://www.google.com/maps?q=24.434313,54.832310"
11,Al Ain Zoo ,55.735982,24.173757,Shiab Al Ashkhar,Abu Dhabi Emirate,"https://www.google.com/maps?q=24.173757,55.735982"
12,Al Faqa East Petrol Station,55.631389,24.697341,Unknown Area,Al Faqa',"https://www.google.com/maps?q=24.697341,55.631389"
13,Al Faqa West Meeting Point,55.620361,24.716972,Unknown Area,Al Faqa',"https://www.google.com/maps?q=24.716972,55.620361"
14,Al Faqa West Petrol Station,55.632959,24.691043,Unknown Area,Al Faqa',"https://www.google.com/maps?q=24.691043,55.632959"
15,Al Faqa to Al Qudra meeting point,55.556450,24.725243,Al Fagaa,Dubai,"https://www.google.com/maps?q=24.725243,55.556450"
16,Al Faqaa DXB,55.489447,24.639624,Unknown Area,Al 'Ajban,"https://www.google.com/maps?q=24.639624,55.489447"
17,Al Faqaa Meeting point,55.490250,24.639050,Unknown Area,Al 'Ajban,"https://www.google.com/maps?q=24.639050,55.490250"
18,Al Faya Deflation Point - AUH,54.900973,24.232362,Unknown Area,Al Haffar,"https://www.google.com/maps?q=24.232362,54.900973"
19,Al Faya Meeting Point,54.901081,24.232510,Unknown Area,Al Haffar,"https://www.google.com/maps?q=24.232510,54.901081"
20,Al Faya North (Entrance to Abdulla Farm),55.006307,24.395520,Unknown Area,Al Fayah,"https://www.google.com/maps?q=24.395520,55.006307"
